52749526,5,19167,2095580878798,317,279,3949363,2016-12-30 10:34:58,2016-07-24 10:34:58,-1,-1,10000,1,새마을휘트니스정릉점,새마을휘트니스정릉점,0,none,2,1,1,05776200;0;현대M3,0,0,0,0,0,none,CR,2016-07-28 04:41:30,2016-07-28
52749527,5,19167,2095580878827,310,269,2069244,2016-12-30 12:15:20,2016-07-24 12:15:20,-1,-1,10000,1,일신싱싱마트,일신싱싱마트,0,none,11,-1,1,15881788;0;KB체크,0,0,0,0,0,none,FR,2016-08-29 22:52:01,2016-07-28
52749528,5,19167,2095580878859,317,269,2069244,2016-12-30 20:10:46,2016-07-24 20:10:46,-1,-1,10000,1,일신싱싱마트,일신싱싱마트,0,none,2,1,1,15776200;0;현대M3,0,0,0,0,0,none,FR,2016-07-28 04:41:30,2016-07-28
52749529,5,19167,2095580878889,317,270,3459099,2016-12-30 08:41:01,2016-07-25 08:41:01,-1,-1,10000,1,티켓몬스터(주),티켓몬스터,0,none,2,1,1,15776200;0;현대M3,0,0,0,0,0,none,FR,2016-07-28 04:41:30,2016-07-28
52749530,5,19167,2095580878935,317,269,56162,2016-12-30 13:00:50,2016-07-25 13:00:50,-1,-1,10000,1,씨유정릉우성점,씨유정릉우성점,0,none,2,1,1,15776200;0;현대M3,0,0,0,0,0,none,FL,2016-07-28 04:41:30,2016-07-28
52749531,5,19167,2095580878983,317,277,1007115,2016-12-31 07:54:25,2016-07-26 07:54:25,-1,-1,10000,1,롯데시네마청량리온라인,롯데시네마청량리온라인,0,none,3,1,0,15776200;0;현대M3,0,0,0,0,0,none,FR,2016-07-28 04:41:32,2016-07-28
52749532,5,19167,2095580879022,317,277,1007115,2016-12-31 10:31:55,2016-07-26 10:31:55,-1,-1,10000,1,롯데시네마청량리관2,롯데시네마청량리관2,0,none,3,1,1,15776200;0;현대M3,0,0,0,0,0,none,FR,2016-07-28 04:41:32,2016-07-28
52749533,5,19167,2095580879062,316,270,68090,2016-12-31 08:22:35,2016-07-27 08:22:35,-1,-1,10000,1,GOOGLE*SERVICES,GOOGLESERVICES,0,USD,10,1,1,15776200;0;현대,0,1,0,0,0,USD 1.00,FR,2016-08-29 22:47:31,2016-08-29
52749534,5,19167,2095580879108,316,270,68090,2016-12-31 08:22:39,2016-07-27 08:22:39,-1,-1,10000,1,GOOGLE*CraftyApps,GOOGLECRAFTYAPPS,0,USD,2,1,1,15776200;0;현대,0,0,0,0,0,USD 4.30,FR,2016-07-28 04:41:30,2016-07-28
52749535,5,19167,2095580879163,317,270,80085,2016-12-31 09:50:23,2016-07-27 09:50:23,-1,-1,10000,1,G마켓(1566-5701),G마켓1566-5701,0,none,2,1,1,15776200;0;현대M3,0,0,0,0,0,none,FR,2016-07-28 04:41:30,2016-07-28
